Maturity,Coupon,Bid,Asked
5/15/20,3.5,106.2734,106.2891
5/15/20,8.75,123.4063,123.4219
5/31/20,1.375,99.3594,99.375
5/31/20,1.5,99.6875,99.7031
6/30/20,1.625,100.0391,100.0547
6/30/20,1.875,100.9531,100.9688
7/31/20,1.625,99.9219,99.9375
7/31/20,2,101.2813,101.2969
8/15/20,2.625,103.375,103.3906
8/15/20,8.75,124.8594,124.875
8/31/20,1.375,98.9609,98.9766
8/31/20,2.125,101.6016,101.6172
9/30/20,1.375,98.8594,98.875
9/30/20,2,101.125,101.1406
10/31/20,1.375,98.75,98.7656
10/31/20,1.75,100.1875,100.2031
11/15/20,2.625,103.3281,103.3438
11/30/20,1.625,99.5781,99.5938
11/30/20,2,101.0156,101.0313
12/31/20,1.75,99.9531,99.9688
12/31/20,2.375,102.4297,102.4453
1/31/21,1.375,98.3906,98.4063
1/31/21,2.125,101.3203,101.3359
2/15/21,3.625,107.3203,107.3359
2/15/21,7.875,124.0391,124.0547
2/28/21,1.125,97.2813,97.2969
2/28/21,2,100.7734,100.7891
3/31/21,1.25,97.6719,97.6875
3/31/21,2.25,101.7969,101.8125
4/30/21,1.375,98.0781,98.0938
4/30/21,2.25,101.7422,101.7578
5/15/21,3.125,105.3438,105.3594
5/15/21,8.125,126.1953,126.2109
5/31/21,1.375,97.9844,98
5/31/21,2,100.5781,100.5938
6/30/21,1.125,96.7578,96.7734
6/30/21,2.125,101.0547,101.0703
7/31/21,1.125,96.6484,96.6641
7/31/21,2.25,101.5625,101.5781
8/15/21,2.125,100.9297,100.9453
8/15/21,8.125,127.3438,127.3594
8/31/21,1.125,96.6016,96.6172
8/31/21,2,100.3672,100.3828
9/30/21,1.125,96.4297,96.4453
9/30/21,2.125,100.8672,100.8828
10/31/21,1.25,96.9453,96.9609
10/31/21,2,100.2656,100.2813
11/15/21,2,100.2578,100.2734
11/15/21,8,128.0625,128.0781
11/30/21,1.75,99.2344,99.25
11/30/21,1.875,99.6953,99.7109
12/31/21,2,100.3516,100.3672
12/31/21,2.125,100.8359,100.8516
1/31/22,1.5,97.7188,97.7344
2/15/22,2,100.1172,100.1328
2/28/22,1.75,98.7734,98.7891
3/31/22,1.75,98.6406,98.6563
4/30/22,1.75,98.5703,98.5859
5/15/22,1.75,98.5156,98.5313
5/31/22,1.875,99.1484,99.1641
6/30/22,2.125,100.2969,100.3125
7/31/22,2,99.5938,99.6094
8/15/22,1.625,97.5,97.5156
8/15/22,7.25,127.5234,127.5391
8/31/22,1.875,98.7891,98.8047
9/30/22,1.75,98.0547,98.0703
10/31/22,1.875,98.6328,98.6484
11/15/22,1.625,97.2969,97.3125
11/15/22,7.625,130.5781,130.5938
11/30/22,2,99.2969,99.3125
12/31/22,2.125,99.9063,99.9219
1/31/23,1.75,97.6641,97.6797
2/15/23,2,99.1484,99.1641
2/15/23,7.125,128.7656,128.7813
2/28/23,1.5,96.1484,96.1641
3/31/23,1.5,96.0547,96.0703
4/30/23,1.625,96.6953,96.7109
5/15/23,1.75,97.3672,97.3828
5/31/23,1.625,96.5625,96.5781
6/30/23,1.375,94.9531,94.9688
7/31/23,1.25,94.1094,94.125
8/15/23,2.5,101.7422,101.7578
8/15/23,6.25,124.9688,124.9844
8/31/23,1.375,94.6953,94.7109
9/30/23,1.375,94.6563,94.6719
10/31/23,1.625,96.1641,96.1797
11/15/23,2.75,103.2578,103.2734
11/30/23,2.125,99.2969,99.3125
12/31/23,2.25,100.0078,100.0234
